id,slug,site,enricher_carrier_type,photo_count,about,verified
1,bestelectricianbirminghamal,,,27,{},0
2,drelectric,https://www.doctorelectricnow.com/,,15,{},0
3,shepherdelectriccompanyinc,https://www.shepherd-electric.net/,,27,{},0
4,blessedelectriccoinc,,Mobile,1,{},0
5,mrelectricofbirmingham,https://mrelectric.com/birmingham,,104,"{""Service options"": {""Online estimates"": true, ""Onsite services"": true, ""Language assistance"": ""English""}, ""Accessibility"": {""Wheelchair accessible restroom"": false, ""Wheelchair accessible seating"": false}, ""Planning"": {""Appointment required"": true}}",0
6,reeveelectric,http://www.reeve-electric.com/,,2,{},0
7,birminghamelectricalservice,,,1,"{""Planning"": {""Appointment required"": true}}",0
8,stoneelectricco,,,5,{},0
9,legacyelectricalservice,http://mylegacyelectrical.com/,,32,"{""Service options"": {""Onsite services"": true, ""Online estimates"": false}, ""Planning"": {""Appointment required"": true}}",0
10,cjelectricalservicesllc,https://cjelectricalservice.com/electrician-services-in-birmingham-al-usa-2/,,141,"{""Service options"": {""Onsite services"": true}}",0
11,stonesonselectricalcontractor,https://stoneandsons.com/,,,{},0
12,armstrongelectricalcontractors,https://www.armstrongelectricalco.com/?utm_source=GMBlisting,,22,"{""Service options"": {""Onsite services"": true}}",0
13,shepherdelectriccompany,https://shepherd-electric.net/pelham/,,23,{},0
14,brownselectricalcontractors,http://www.brown-ec.com/,,62,"{""From the business"": {""Identifies as Black-owned"": true}, ""Other"": {""Identifies as Black-owned"": true}}",0
15,homeworkselectric,http://myhomesworks.com/,,7,{},0
16,electrician,,,,{},0
17,jacksonelectricalservices,https://electricalservicesbirmingham.com/,,20,"{""From the business"": {""Identifies as Black-owned"": true}, ""Other"": {""Identifies as Black-owned"": true}}",0
18,birminghamelectricalservice1,,,2,"{""Service options"": {""Onsite services"": true, ""Language assistance"": ""American Sign Language""}, ""Crowd"": {""LGBTQ+ friendly"": true, ""Transgender safespace"": true}, ""Other"": {""LGBTQ+ friendly"": true}}",0
19,rtrelectricllc,https://rtrelectricllc.com/,,26,{},0
20,sparkmasterelectricalservices,,,2,"{""Service options"": {""Onsite services"": true, ""Language assistance"": ""American Sign Language, English""}, ""Crowd"": {""LGBTQ+ friendly"": true, ""Transgender safespace"": true}, ""Other"": {""LGBTQ+ friendly"": true}}",0
21,brightsparkelectricianbirmingham,,,2,"{""Service options"": {""Onsite services"": true, ""Language assistance"": ""American Sign Language""}, ""Crowd"": {""LGBTQ+ friendly"": true, ""Transgender safespace"": true}, ""Other"": {""LGBTQ+ friendly"": true}}",0
22,smartlivinghomeenergy,,Mobile,,{},0
23,205hvacandelectrical,,,2,{},0
24,expresselectricalservices,,,2,"{""Service options"": {""Onsite services"": true, ""Language assistance"": ""American Sign Language, English""}, ""Crowd"": {""LGBTQ+ friendly"": true, ""Transgender safespace"": true}, ""Other"": {""LGBTQ+ friendly"": true}}",0
25,brightfutureelectric,http://www.brightfutureelectric.com/,,2,{},0
26,proelectricianservices,,,1,{},0
27,kingfred,https://kingfredco.com/,Mobile,31,"{""From the business"": {""Identifies as Asian-owned"": true, ""Identifies as Black-owned"": true, ""Identifies as women-owned"": true}, ""Service options"": {""Online estimates"": false, ""Onsite services"": false}, ""Planning"": {""Appointment required"": true}, ""Other"": {""Identifies as Black-owned"": true, ""Identifies as women-owned"": true, ""Identifies as Asian-owned"": true}}",0
28,craftelectriccoinc,http://www.craft-electric.com/,,106,"{""From the business"": {""Identifies as women-owned"": true}, ""Service options"": {""Onsite services"": true, ""Online estimates"": false}, ""Crowd"": {""LGBTQ+ friendly"": true, ""Transgender safespace"": true}, ""Other"": {""LGBTQ+ friendly"": true, ""Identifies as women-owned"": true}}",0
