slug,name,phone,street,city,postal_code,state,latitude,longitude,rating,reviews,review_link,working_hours,logo,location_link,location_review_link,email,facebook
bestelectricianbirminghamal,"Best Electrician Birmingham, AL","+1 205-582-0966",,,,,32.5762265,-86.6807364,5.0,1,"https://search.google.com/local/reviews?placeid=ChIJW9dWHjQaiYgRCm9lJDX8yqA&q=electrician,+35285,+Birmingham,+AL,+US&authuser=0&hl=en&gl=US","{""Monday"": ""7AM-7PM"", ""Tuesday"": ""7AM-7PM"", ""Wednesday"": ""7AM-7PM"", ""Thursday"": ""7AM-7PM"", ""Friday"": ""7AM-7PM"", ""Saturday"": ""7AM-7PM"", ""Sunday"": ""7AM-7PM""}",https://lh5.googleusercontent.com/-fLDXc2B5TmA/AAAAAAAAAAI/AAAAAAAAAAA/jMVvEI7L2fE/s44-p-k-no-ns-nd/photo.jpg,"https://www.google.com/maps/place/Best+Electrician+Birmingham%2C+AL/@32.5762265,-86.6807364,14z/data=!4m8!1m2!2m1!1sBest+Electrician+Birmingham%2C+AL!3m4!1s0x88891a341e56d75b:0xa0cafc3524656f0a!8m2!3d32.5762265!4d-86.6807364","https://www.google.com/maps/place/Best+Electrician+Birmingham%2C+AL/@32.5762265,-86.6807364,13.99z/data=!4m16!1m7!3m6!1s0x88891a341e56d75b:0xa0cafc3524656f0a!2sBest+Electrician+Birmingham%2C+AL!8m2!3d32.5762265!4d-86.6807364!16s%2Fg%2F11ckvg1dmb!3m7!1s0x88891a341e56d75b:0xa0cafc3524656f0a!8m2!3d32.5762265!4d-86.6807364!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",electricianbirminghamal@gmail.com,https://www.facebook.com/BestElectricianBirmingham/
drelectric,"Dr. Electric","+1 205-601-1602","908 13th St N suite e",Birmingham,35203,Alabama,33.518719,-86.821877,4.8,25,"https://search.google.com/local/reviews?placeid=ChIJfY1sQnQciYgRmfCD5GckoBA&q=electrician,+35285,+Birmingham,+AL,+US&authuser=0&hl=en&gl=US","{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}",https://lh5.googleusercontent.com/-FIqgsltNue4/AAAAAAAAAAI/AAAAAAAAAAA/iL2jPP3Ou7c/s44-p-k-no-ns-nd/photo.jpg,"https://www.google.com/maps/place/Dr.+Electric/@33.518719,-86.821877,14z/data=!4m8!1m2!2m1!1sDr.+Electric!3m4!1s0x88891c74426c8d7d:0x10a02467e483f099!8m2!3d33.518719!4d-86.821877","https://www.google.com/maps/place/Dr.+Electric/@33.518719,-86.821877,13.99z/data=!4m16!1m7!3m6!1s0x88891c74426c8d7d:0x10a02467e483f099!2sDr.+Electric!8m2!3d33.518719!4d-86.821877!16s%2Fg%2F11ckvg1dmb!3m7!1s0x88891c74426c8d7d:0x10a02467e483f099!8m2!3d33.518719!4d-86.821877!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",service.drelectric@gmail.com,https://www.facebook.com/Dr-Electric-288111617896112/
shepherdelectriccompanyinc,"Shepherd Electric Company, Inc.","+1 205-479-5673",,,,,33.5313975,-86.8504715,5.0,324,"https://search.google.com/local/reviews?placeid=ChIJdb4GNVcXiYgRQPxx5PJfxt0&q=electrician,+35285,+Birmingham,+AL,+US&authuser=0&hl=en&gl=US","{""Monday"": ""8AM-5PM"", ""Tuesday"": ""8AM-5PM"", ""Wednesday"": ""8AM-5PM"", ""Thursday"": ""8AM-5PM"", ""Friday"": ""8AM-5PM"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",https://lh5.googleusercontent.com/-QDa1ZB9wZwU/AAAAAAAAAAI/AAAAAAAAAAA/AT73YoAECXc/s44-p-k-no-ns-nd/photo.jpg,"https://www.google.com/maps/place/Shepherd+Electric+Company%2C+Inc./@33.5313975,-86.8504715,14z/data=!4m8!1m2!2m1!1sShepherd+Electric+Company%2C+Inc.!3m4!1s0x888917573506be75:0xddc65ff2e471fc40!8m2!3d33.5313975!4d-86.8504715","https://www.google.com/maps/place/Shepherd+Electric+Company%2C+Inc./@33.5313975,-86.8504715,13.99z/data=!4m16!1m7!3m6!1s0x888917573506be75:0xddc65ff2e471fc40!2sShepherd+Electric+Company%2C+Inc.!8m2!3d33.5313975!4d-86.8504715!16s%2Fg%2F11ckvg1dmb!3m7!1s0x888917573506be75:0xddc65ff2e471fc40!8m2!3d33.5313975!4d-86.8504715!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",info@shepherd-electric.net,https://www.facebook.com/shepherdelectriccompany/
blessedelectriccoinc,"Blessed Electric Co Inc","+1 205-283-9649",,Birmingham,35209,Alabama,33.4702383,-86.8069698,5.0,3,"https://search.google.com/local/reviews?placeid=ChIJVVVVVUEZiYgRhxeLRHfcKfY&q=electrician,+35285,+Birmingham,+AL,+US&authuser=0&hl=en&gl=US",,,"https://www.google.com/maps/place/Blessed+Electric+Co+Inc/@33.4702383,-86.80696979999999,14z/data=!4m8!1m2!2m1!1sBlessed+Electric+Co+Inc!3m4!1s0x8889194155555555:0xf629dc77448b1787!8m2!3d33.4702383!4d-86.80696979999999","https://www.google.com/maps/place/Blessed+Electric+Co+Inc/@33.4702383,-86.80696979999999,13.99z/data=!4m16!1m7!3m6!1s0x8889194155555555:0xf629dc77448b1787!2sBlessed+Electric+Co+Inc!8m2!3d33.4702383!4d-86.80696979999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x8889194155555555:0xf629dc77448b1787!8m2!3d33.4702383!4d-86.80696979999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",,
mrelectricofbirmingham,"Mr. Electric of Birmingham","+1 205-208-7479","660 University Blvd",Birmingham,35233,Alabama,33.4962596,-86.8175896,4.8,734,"https://search.google.com/local/reviews?placeid=ChIJ80BdhYkNiYgRA8IWqSw1F24&q=electrician,+35285,+Birmingham,+AL,+US&authuser=0&hl=en&gl=US","{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}",https://lh5.googleusercontent.com/-xL6WJj4o2V0/AAAAAAAAAAI/AAAAAAAAAAA/tao6O9pgu1k/s44-p-k-no-ns-nd/photo.jpg,"https://www.google.com/maps/place/Mr.+Electric+of+Birmingham/@33.4962596,-86.81758959999999,14z/data=!4m8!1m2!2m1!1sMr.+Electric+of+Birmingham!3m4!1s0x88890d89855d40f3:0x6e17352ca916c203!8m2!3d33.4962596!4d-86.81758959999999","https://www.google.com/maps/place/Mr.+Electric+of+Birmingham/@33.4962596,-86.81758959999999,13.99z/data=!4m16!1m7!3m6!1s0x88890d89855d40f3:0x6e17352ca916c203!2sMr.+Electric+of+Birmingham!8m2!3d33.4962596!4d-86.81758959999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x88890d89855d40f3:0x6e17352ca916c203!8m2!3d33.4962596!4d-86.81758959999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",gsmalley@mrelectric.com,http://www.facebook.com/MrElectricFan
reeveelectric,"Reeve Electric","+1 205-252-4141","2428 2nd Ave S",Birmingham,35233,Alabama,33.514079,-86.7968562,5.0,6,"https://search.google.com/local/reviews?placeid=ChIJP2AJrb4biYgR11OGV2P1htg&q=electrician,+35285,+Birmingham,+AL,+US&authuser=0&hl=en&gl=US",,https://lh3.googleusercontent.com/-WtPDjTd2dyg/AAAAAAAAAAI/AAAAAAAAAAA/zJoSiZdrQ3E/s44-p-k-no-ns-nd/photo.jpg,"https://www.google.com/maps/place/Reeve+Electric/@33.514078999999995,-86.7968562,14z/data=!4m8!1m2!2m1!1sReeve+Electric!3m4!1s0x88891bbead09603f:0xd886f563578653d7!8m2!3d33.514078999999995!4d-86.7968562","https://www.google.com/maps/place/Reeve+Electric/@33.514078999999995,-86.7968562,13.99z/data=!4m16!1m7!3m6!1s0x88891bbead09603f:0xd886f563578653d7!2sReeve+Electric!8m2!3d33.514078999999995!4d-86.7968562!16s%2Fg%2F11ckvg1dmb!3m7!1s0x88891bbead09603f:0xd886f563578653d7!8m2!3d33.514078999999995!4d-86.7968562!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",pete.ray@reeve-electric.com,
birminghamelectricalservice,"Birmingham Electrical Service",,"28 Green Springs Hwy",Birmingham,35209,Alabama,33.474142,-86.826948,4.4,7,"https://search.google.com/local/reviews?placeid=ChIJMa816KoeiYgR113YrVY4kzc&q=electrician,+35285,+Birmingham,+AL,+US&authuser=0&hl=en&gl=US","{""Monday"": ""8AM-8PM"", ""Tuesday"": ""8AM-8PM"", ""Wednesday"": ""8AM-8PM"", ""Thursday"": ""8AM-8PM"", ""Friday"": ""8AM-8PM"", ""Saturday"": ""9AM-5PM"", ""Sunday"": ""Closed""}",,"https://www.google.com/maps/place/Birmingham+Electrical+Service/@33.474142,-86.826948,14z/data=!4m8!1m2!2m1!1sBirmingham+Electrical+Service!3m4!1s0x88891eaae835af31:0x37933856add85dd7!8m2!3d33.474142!4d-86.826948","https://www.google.com/maps/place/Birmingham+Electrical+Service/@33.474142,-86.826948,13.99z/data=!4m16!1m7!3m6!1s0x88891eaae835af31:0x37933856add85dd7!2sBirmingham+Electrical+Service!8m2!3d33.474142!4d-86.826948!16s%2Fg%2F11ckvg1dmb!3m7!1s0x88891eaae835af31:0x37933856add85dd7!8m2!3d33.474142!4d-86.826948!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",,
stoneelectricco,"Stone Electric Co","+1 205-592-6313","4624 5th Ave S",Birmingham,35222,Alabama,33.5278807,-86.7620092,5.0,1,"https://search.google.com/local/reviews?placeid=ChIJc-D71V8aiYgR5o9U2tdXyAI&q=electrician,+35285,+Birmingham,+AL,+US&authuser=0&hl=en&gl=US","{""Monday"": ""8AM-8PM"", ""Tuesday"": ""8AM-8PM"", ""Wednesday"": ""8AM-8PM"", ""Thursday"": ""8AM-8PM"", ""Friday"": ""8AM-8PM"", ""Saturday"": ""8AM-8PM"", ""Sunday"": ""8AM-8PM""}",,"https://www.google.com/maps/place/Stone+Electric+Co/@33.5278807,-86.7620092,14z/data=!4m8!1m2!2m1!1sStone+Electric+Co!3m4!1s0x88891a5fd5fbe073:0x2c857d7da548fe6!8m2!3d33.5278807!4d-86.7620092","https://www.google.com/maps/place/Stone+Electric+Co/@33.5278807,-86.7620092,13.99z/data=!4m16!1m7!3m6!1s0x88891a5fd5fbe073:0x2c857d7da548fe6!2sStone+Electric+Co!8m2!3d33.5278807!4d-86.7620092!16s%2Fg%2F11ckvg1dmb!3m7!1s0x88891a5fd5fbe073:0x2c857d7da548fe6!8m2!3d33.5278807!4d-86.7620092!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",,
legacyelectricalservice,"Legacy Electrical Service","+1 205-615-2722","1436 US-11 Suite B",Trussville,35173,Alabama,33.7129907,-86.5145879,5.0,79,"https://search.google.com/local/reviews?placeid=ChIJ03hyX74DrGsRHY9J9L6VwCE&q=electrician,+35285,+Birmingham,+AL,+US&authuser=0&hl=en&gl=US","{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}",https://lh4.googleusercontent.com/-2OHG2qqZXtE/AAAAAAAAAAI/AAAAAAAAAAA/asXGjFeZ3vc/s44-p-k-no-ns-nd/photo.jpg,"https://www.google.com/maps/place/Legacy+Electrical+Service/@33.7129907,-86.5145879,14z/data=!4m8!1m2!2m1!1sLegacy+Electrical+Service!3m4!1s0x6bac03be5f7278d3:0x21c095bef4498f1d!8m2!3d33.7129907!4d-86.5145879","https://www.google.com/maps/place/Legacy+Electrical+Service/@33.7129907,-86.5145879,13.99z/data=!4m16!1m7!3m6!1s0x6bac03be5f7278d3:0x21c095bef4498f1d!2sLegacy+Electrical+Service!8m2!3d33.7129907!4d-86.5145879!16s%2Fg%2F11ckvg1dmb!3m7!1s0x6bac03be5f7278d3:0x21c095bef4498f1d!8m2!3d33.7129907!4d-86.5145879!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",contact@mylegacyelectrical.com,https://www.facebook.com/WordPresscom
cjelectricalservicesllc,"C&J Electrical Services LLC","+1 205-939-8882","201 Beacon Pkwy W #306",Birmingham,35209,Alabama,33.4734365,-86.8216668,4.8,44,"https://search.google.com/local/reviews?placeid=ChIJq9j3KE0ZiYgRFCkQrs2KVTI&q=electrician,+35285,+Birmingham,+AL,+US&authuser=0&hl=en&gl=US","{""Monday"": ""8AM-4:30PM"", ""Tuesday"": ""8AM-4:30PM"", ""Wednesday"": ""8AM-4:30PM"", ""Thursday"": ""8AM-4:30PM"", ""Friday"": ""8AM-4:30PM"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",https://lh3.googleusercontent.com/-HHPjyh08YVc/AAAAAAAAAAI/AAAAAAAAAAA/HX3fS2jOKx4/s44-p-k-no-ns-nd/photo.jpg,"https://www.google.com/maps/place/C%26J+Electrical+Services+LLC/@33.4734365,-86.8216668,14z/data=!4m8!1m2!2m1!1sC%26J+Electrical+Services+LLC!3m4!1s0x8889194d28f7d8ab:0x32558acdae102914!8m2!3d33.4734365!4d-86.8216668","https://www.google.com/maps/place/C%26J+Electrical+Services+LLC/@33.4734365,-86.8216668,13.99z/data=!4m16!1m7!3m6!1s0x8889194d28f7d8ab:0x32558acdae102914!2sC%26J+Electrical+Services+LLC!8m2!3d33.4734365!4d-86.8216668!16s%2Fg%2F11ckvg1dmb!3m7!1s0x8889194d28f7d8ab:0x32558acdae102914!8m2!3d33.4734365!4d-86.8216668!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",cjelectricalservices97@gmail.com,
